feature,category,transaction_count,fraud_count,fraud_rate,average_amount
Merchant_Category,Electronics,650,49,0.07538461538461538,78.27241538461539
Merchant_Category,Entertainment,630,72,0.11428571428571428,79.33795238095239
Merchant_Category,Fashion,608,62,0.10197368421052631,78.06988486842106
Merchant_Category,Food,684,74,0.10818713450292397,77.19181286549707
Merchant_Category,Grocery,629,58,0.09220985691573927,81.40203497615262
Merchant_Category,Health,606,61,0.10066006600660066,81.96716171617162
Merchant_Category,Travel,599,56,0.09348914858096828,78.3379632721202
Merchant_Category,Utilities,594,50,0.08417508417508418,79.0896127946128
Payment_Method,Credit Card,972,96,0.09876543209876543,76.9819341563786
Payment_Method,Debit Card,1008,103,0.10218253968253968,79.65178571428571
Payment_Method,NetBanking,1037,85,0.08196721311475409,80.52159112825458
Payment_Method,PayPal,1022,98,0.0958904109589041,81.17615459882583
Payment_Method,UPI,961,100,0.1040582726326743,77.34126951092613
Device_Type,Desktop,1679,172,0.10244192972007148,77.31781417510423
Device_Type,Mobile,1648,151,0.09162621359223301,80.18183252427184
Device_Type,POS,1673,159,0.09503885236102809,80.0639868499701
Location,Bengaluru,686,71,0.10349854227405247,78.01204081632653
Location,Chennai,655,69,0.10534351145038168,79.77192366412214
Location,Delhi,758,65,0.08575197889182058,79.0875197889182
Location,Hyderabad,725,64,0.08827586206896551,78.85686896551725
Location,Kolkata,713,73,0.10238429172510519,80.97615708274895
Location,Mumbai,741,78,0.10526315789473684,79.64058029689609
Location,Pune,722,62,0.08587257617728532,77.93242382271468
Is_International,0,4559,319,0.06997148497477516,79.29430138188198
Is_International,1,441,163,0.36961451247165533,78.00589569160998
Suspicious_Keyword,No,4740,359,0.07573839662447257,79.02777004219409
Suspicious_Keyword,Yes,260,123,0.47307692307692306,81.96803846153846
